Cuisines,Cuisines
"Mithai, North Indian, Street Food",1
"North Indian, South Indian, Italian, Chinese",1
"Italian, Continental, Mexican, North Indian",1
"Cafe, Continental, Italian, Fast Food",1
"Mexican, Italian, Fast Food",1
"Cafe, Continental, Italian, Mexican, Chinese, American",1
"Continental, Mexican, American, Fast Food, Italian, Chinese",1
"South Indian, North Indian, Street Food",1
"Chinese, Continental, Italian, North Indian",1
"Fast Food, Italian, Beverages",1
"Continental, Mexican, Fast Food, North Indian, Chinese",1
"Arabian, North Indian",1
"Asian, Sushi",1
"Cafe, Italian, Lebanese, Continental, Mediterranean",1
"Chinese, Asian, Mediterranean, Continental",1
"Continental, Chinese, North Indian, Indian",1
"Pizza, North Indian, Continental",1
"Mughlai, Continental, Chinese",1
"Continental, American, Italian, North Indian, Chinese",1
"Fast Food, Street Food, Chinese",1
"Continental, Mexican, Mediterranean",1
"Continental, American, Cafe",1
"Turkish, Mediterranean, Middle Eastern",1
"Asian, Chinese, Japanese",1
"Continental, American, Italian, Mediterranean",1
"Cafe, North Indian, Italian, Chinese",1
"Cafe, Continental, Italian, Chinese",1
"Cafe, Continental, Mexican, Italian, North Indian, Chinese",1
"Cafe, North Indian, Continental, Italian",1
"Biryani, North Indian, Fast Food",1
"Chinese, Thai, Continental, Fast Food, North Indian",1
"North Indian, Chinese, Fast Food, Cafe",1
"Cafe, Italian, North Indian",1
"Juices, Fast Food",1
"Continental, North Indian, Mexican",1
"Mediterranean, Continental, North Indian, Italian",1
"North Indian, Mughlai, Hyderabadi",1
"North Indian, Chinese, Thai, Continental",1
"South Indian, Chinese, Street Food, Mithai",1
"Italian, North Indian, Chinese",1
"Fast Food, North Indian, Chinese, South Indian, Ice Cream",1
"Continental, American, North Indian",1
"Street Food, Continental, South Indian, North Indian, Chinese",1
"North Indian, Fast Food, Chinese, Biryani, Mughlai",1
"North Indian, Continental, European, American, Mediterranean",1
"Cafe, Italian, Continental, Desserts",1
"North Indian, Chinese, South Indian, Street Food, Fast Food, Mithai",1
"North Indian, Mughlai, Italian, Chinese",1
"Continental, Modern Indian, Asian",1
"Finger Food, North Indian, Continental, Chinese, Italian",1
"Continental, Italian, Mediterranean, Asian",1
"Fast Food, North Indian, Chinese, Desserts, Ice Cream",1
"Continental, North Indian, Chinese, Asian",1
"Cafe, Healthy Food, Continental, Italian, Asian",1
"Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati",1
"North Indian, Mangalorean, Chinese",1
"Continental, Italian, North Indian, Chinese",1
"Pizza, North Indian",1
"Naga, Tibetan",1
"Pizza, Continental, Beverages",1
"Naga, Tibetan, Chinese, Bakery",1
"Mithai, North Indian, South Indian, Street Food, Chinese",1
"Desserts, Ice Cream, Pizza",1
"Mithai, Street Food, North Indian, South Indian, Chinese",1
"North Indian, Continental, Thai, Chinese",1
"Mexican, American",1
"Bakery, Beverages, Fast Food",1
"European, Asian",1
"Chinese, North Indian, Fast Food, Street Food",1
"American, Italian, Chinese, North Indian, Cafe",1
Assamese,1
"Continental, Chinese, Fast Food",1
"Cafe, American, Continental, Nepalese",1
"North Indian, Tibetan",1
"Cafe, Korean",1
"Chinese, Tibetan, Fast Food",1
"Cafe, Continental, Chinese, North Indian, Italian",1
"Chinese, Thai, Asian, Japanese, Korean, Seafood",1
"Italian, Lebanese, North Indian",1
"Asian, Chinese, Thai, Malaysian, Indonesian, Burmese",1
"North Indian, European, Asian",1
"Continental, Thai, Chinese, North Indian",1
"Cafe, Fast Food, Bakery",1
"North Indian, Fast Food, Afghani",1
"Beverages, Ice Cream",1
"Chinese, Continental, Thai",1
"Bakery, Desserts, Healthy Food",1
"North Indian, Mughlai, Chinese, Bakery",1
"Tea, Cafe",1
"Biryani, Mughlai, Bengali, North Indian",1
"Mithai, North Indian, South Indian",1
"Street Food, Chinese, Mithai",1
"Fast Food, South Indian, Chinese, Mithai",1
"Ice Cream, Desserts, Fast Food",1
"Continental, Seafood, North Indian",1
"Afghani, North Indian, Pakistani, Arabian",1
"Malaysian, Thai",1
"Continental, North Indian, European, Asian",1
"North Indian, European, Continental",1
"Mediterranean, European",1
"North Indian, Chinese, South Indian, Italian",1
"Spanish, Italian",1
"Cafe, American, Tea",1
"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",1
"Continental, North Indian, South Indian, Italian",1
"Italian, Continental, Finger Food",1
"Chinese, Cafe",1
"Mughlai, North Indian, South Indian",1
"French, Italian",1
"Mughlai, Italian, Finger Food, Middle Eastern",1
"North Indian, Continental, Lebanese",1
"Continental, Italian, American, North Indian",1
"Continental, Italian, Mediterranean",1
"Finger Food, Continental, Italian, Chinese",1
"Thai, Chinese, Japanese",1
"North Indian, Continental, European, Chinese, Thai",1
"Continental, Italian, North Indian, Chinese, Lebanese",1
"Asian, Continental, Italian, North Indian",1
"North Indian, South Indian, Mithai",1
"North Indian, Continental, Salad",1
"Cafe, North Indian, Chinese, South Indian",1
"Pizza, Burger, Fast Food",1
"North Indian, Chinese, South Indian, Bakery",1
"Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai",1
"North Indian, Chinese, Bakery",1
"Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American",1
"Korean, Beverages, Desserts",1
"Cafe, American, Italian, North Indian, Chinese",1
"Asian, Chinese, Thai, Japanese",1
"Hyderabadi, Biryani, North Indian",1
"Lebanese, North Indian, Fast Food",1
"Cafe, Continental, North Indian, Chinese, Mexican",1
"Cafe, Continental, Italian, Chinese, North Indian",1
"Cafe, Italian, Continental, Mexican",1
Awadhi,1
"Asian, Chinese, Thai, Vietnamese",1
"Cafe, Continental, Italian, Mexican",1
"Cafe, Bakery, Italian",1
"Desserts, North Indian",1
"Hyderabadi, Biryani",1
"Continental, Chinese, Italian, Cafe",1
"Continental, Mexican",1
"Cafe, Mexican, Italian, North Indian, Chinese",1
"Pizza, Salad, Finger Food",1
"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",1
"American, Italian, Cafe",1
"Chinese, Thai, Tibetan, Japanese",1
"North Indian, Awadhi",1
"Cafe, Italian, Continental, Mexican, Mediterranean",1
"Chinese, Biryani, North Indian",1
"Bakery, Fast Food, Pizza",1
"North Indian, Street Food, Chinese",1
"Bakery, Desserts, Fast Food, Pizza, Burger, Finger Food",1
"Pizza, Ice Cream",1
"Cafe, Asian, Italian, North Indian",1
"Continental, Italian, American",1
"Continental, Fast Food, North Indian, Asian",1
"Continental, North Indian, European",1
"North Indian, Street Food, Fast Food, Chinese, South Indian, Mithai",1
"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",1
"Italian, German, Continental",1
"Italian, Continental, Fast Food, North Indian",1
"Mexican, American, Tex-Mex",1
"North Indian, Mediterranean, Chinese",1
"European, North Indian, Continental, Italian",1
"Cafe, Italian, Mexican, Chinese, North Indian",1
"North Indian, Continental, Chinese, Fast Food",1
"Chinese, North Indian, Italian, Mexican",1
"North Indian, Chinese, Thai, Mexican, Italian",1
"Chinese, Indian",1
"Lebanese, Italian",1
"Italian, North Indian, Desserts, Continental",1
"Italian, Mexican, Mediterranean",1
"Turkish, Arabian, Moroccan, Lebanese",1
"North Indian, Fast Food, Chinese, Japanese, Asian, Italian",1
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",1
"Cafe, Fast Food, Asian, Italian",1
"North Indian, Chinese, Tibetan, Italian, Fast Food",1
"North Indian, French, Continental",1
"Goan, Mangalorean, Continental, French",1
"Continental, Italian, North Indian, Lebanese",1
"North Indian, North Eastern, Continental",1
"North Indian, Chinese, Seafood",1
"North Indian, Kashmiri, Mughlai",1
"Desserts, Fast Food, Chinese",1
"Beverages, Healthy Food",1
"North Indian, Fast Food, Mithai",1
"Ice Cream, Bakery",1
"Finger Food, Italian, Spanish, Greek",1
"Mithai, Street Food, North Indian, South Indian",1
"Fast Food, Continental, Italian, Bakery",1
"Fast Food, Chinese, Mithai, Street Food",1
"Chinese, Thai, Seafood, North Indian, Italian",1
"North Indian, Fast Food, Chinese, Mithai",1
"Italian, Continental, Chinese, Mexican",1
"Chinese, Italian, Continental",1
"Andhra, North Indian, Chinese",1
"Japanese, American, North Indian, Fast Food",1
"South Indian, Pizza, Chinese",1
"Bakery, Pizza",1
"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",1
"Cafe, Fast Food, American",1
"Andhra, North Indian, Chinese, Seafood, Biryani",1
"Pizza, Fast Food, Bakery",1
"Mughlai, Chinese, Cafe, BBQ, Cajun",1
"Italian, Lebanese, Mexican",1
"Fast Food, South Indian, Mithai",1
"South Indian, Fast Food, North Indian, Chinese",1
"Fast Food, Mughlai",1
"Awadhi, Mughlai",1
"South Indian, North Indian, Fast Food",1
"South Indian, Chinese, Continental, Italian, North Indian",1
"North Eastern, North Indian",1
"Finger Food, European",1
"Pizza, Chinese",1
"Italian, Fast Food, South Indian",1
"North Indian, Mughlai, Mexican, Thai",1
"North Indian, Chinese, Italian, Lebanese, Mexican",1
"North Indian, Italian, Mexican, Asian",1
"North Indian, Chinese, Italian, Mexican, Lebanese",1
"North Indian, Italian, Chinese, Thai",1
"Finger Food, Italian, Middle Eastern",1
"Cafe, Mexican, Italian, Fast Food",1
"Mithai, North Indian, Street Food, Chinese, South Indian, Indian",1
"North Indian, Continental, Italian, Asian",1
"Chinese, North Eastern",1
"Italian, Mexican, Continental",1
"Thai, Chinese, Asian",1
"Bengali, Chinese",1
"Continental, Chinese, Mexican, North Indian",1
"South Indian, Street Food, Desserts",1
"North Indian, Thai, Italian, Chinese, Mexican",1
"Continental, North Indian, Finger Food",1
"Hyderabadi, Fast Food",1
"Continental, Mexican, Italian",1
"Fast Food, Maharashtrian, North Indian",1
"Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages",1
"Continental, Fast Food, Asian, Italian",1
"North Indian, Biryani, Fast Food",1
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai",1
"Cafe, South Indian, North Indian, Bakery",1
"Cafe, Fast Food, Pizza",1
"North Indian, Chinese, Italian, Thai",1
"Mithai, North Indian, Chinese",1
"North Indian, Mughlai, Armenian",1
"Italian, Continental, Fast Food, Chinese",1
"Fast Food, Italian, Desserts, Beverages",1
"Kashmiri, Chinese",1
"North Indian, Beverages",1
"Bakery, North Indian",1
"Italian, Continental, American",1
"Street Food, North Indian, Chinese, Continental",1
"North Indian, Mughlai, Chinese, Raw Meats",1
"Thai, European, Mexican, North Indian, Chinese, Cafe",1
"Tibetan, Street Food",1
"American, Asian, European, Seafood",1
"North Indian, South Indian, Italian, Continental, Mediterranean, Lebanese, Desserts",1
"North Indian, Chinese, Fast Food, Mithai",1
"North Indian, Seafood, Bengali",1
"American, Italian, North Indian, Chinese",1
"North Indian, Mughlai, Lebanese",1
"North Indian, Mughlai, Mughlai",1
"Healthy Food, Italian, Juices, Beverages",1
"Continental, North Indian, Chinese, Italian, Finger Food",1
"Salad, Continental",1
"North Indian, Healthy Food, Rajasthani",1
"Fast Food, Cafe, Italian, North Indian, Chinese",1
"North Indian, Fast Food, Italian, Chinese, Cafe",1
"North Indian, Mexican, Chinese, Italian",1
"Healthy Food, North Indian, Chinese, Continental",1
"Awadhi, North Indian",1
"North Indian, South Indian, Bakery, Italian",1
"South Indian, Chinese, Mithai",1
"Fast Food, Healthy Food",1
"North Indian, South Indian, Fast Food, Street Food, Chinese, Mithai",1
"American, Chinese, North Indian, Italian",1
"Tea, Beverages, Fast Food",1
"Continental, Cafe, Italian, Pizza, North Indian, Chinese, Bakery, Mughlai",1
"Street Food, Mughlai",1
"North Indian, Continental, Chinese, South Indian",1
"North Indian, Continental, Mughlai",1
"Desserts, Beverages, Juices",1
"Asian, North Indian, Japanese",1
"Fast Food, Mughlai, Armenian",1
"North Indian, South Indian, Bihari",1
"North Indian, Mithai, South Indian, Street Food, Chinese",1
"French, Continental, North Indian",1
"Bakery, French",1
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",1
"Fast Food, Desserts, Beverages",1
"North Indian, Seafood, South Indian, Italian",1
"North Indian, Middle Eastern, Pizza",1
"Chinese, North Indian, South Indian, Fast Food",1
"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Mithai",1
"Japanese, Chinese",1
"Lucknowi, Mughlai, North Indian",1
"North Indian, Chinese, Mexican, Italian, Thai, Lebanese",1
"North Indian, Chinese, Kashmiri",1
"Mithai, Beverages",1
"North Indian, Chinese, Mediterranean, Asian, Continental",1
"North Indian, South Indian, Bakery, Beverages",1
"Italian, Continental, North Indian",1
"Lebanese, Chinese",1
"European, North Indian, Chinese",1
"Juices, Beverages, Fast Food",1
"Bakery, Desserts, Fast Food, North Indian",1
"North Indian, Finger Food, Italian, Chinese",1
"Continental, Lebanese, Mexican",1
"Chinese, North Indian, Continental, Italian",1
"North Indian, Continental, Italian, Thai, Chinese",1
"North Indian, Cafe",1
"French, Japanese, Desserts",1
"Lebanese, Chinese, Fast Food",1
"Indian, Rajasthani",1
"Indian, Mughlai, South Indian, Biryani",1
"Indian, North Indian, South Indian, Chinese",1
"Goan, Chinese, Indian, North Indian",1
"Indian, Asian",1
"Indian, North Indian, Street Food",1
"Indian, Continental",1
"Continental, Indian",1
"International, Indian",1
"Mediterranean, Italian, Thai, European",1
"Coffee and Tea, Desserts, Beverages",1
"Lebanese, Arabian, Middle Eastern",1
"Pakistani, Afghani, Indian, Hyderabadi",1
"American, Mexican, Seafood",1
"Filipino, Japanese, Asian",1
"Indian, North Indian, Mughlai, Biryani",1
"Thai, Japanese, Chinese, Indonesian, Vietnamese",1
"Turkish, Arabian, Middle Eastern",1
"Burger, Greek, Sandwich",1
"Pakistani, Indian, Mughlai",1
"Pakistani, Chinese, Indian, Afghani",1
"Bakery, Arabian, Middle Eastern",1
"Arabian, Middle Eastern",1
"Cafe, American, Continental, Armenian, Fast Food",1
"North Indian, Italian, Asian, South Indian",1
"Continental, Italian, Chinese",1
"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",1
"Cafe, Beverages, Desserts, Pizza",1
"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",1
"Fast Food, Street Food, South Indian",1
"North Indian, South Indian, Asian, Continental",1
"North Indian, Cafe, Italian, Mexican, Continental",1
"Cafe, Continental, Desserts",1
"Pizza, Italian, Beverages, Desserts",1
"Ice Cream, Desserts, Continental",1
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",1
"Cafe, Italian, Mexican, North Indian, Continental",1
"South Indian, Desserts",1
"Rajasthani, Gujarati, Mughlai",1
"African, Portuguese",1
"Sandwich, Sushi, Tapas",1
"Italian, Pizza, Vegetarian",1
"South Indian, North Indian, Chinese, Continental",1
"Asian, Continental, Seafood",1
"Caribbean, Mexican, Cajun",1
"American, Desserts, Diner",1
"Asian, Vegetarian, Vietnamese",1
"Cafe, Spanish, Turkish, Greek",1
"American, Bakery, European, Burger, Fusion",1
"Western, Fusion, Fast Food",1
"Singaporean, Australian, German",1
"Chinese, Seafood, Cantonese, Dim Sum",1
"Singaporean, Chinese, Seafood, Malay, Indian",1
"Coffee and Tea, Tapas, Australian",1
"American, Japanese, Singaporean",1
"Italian, French, Bakery, Cafe",1
"French, Mediterranean, European",1
"Chinese, Continental, Singaporean",1
"American, Seafood, Southern",1
"Cafe, Sandwich, Southern",1
"Pizza, Seafood, Steak",1
"Coffee and Tea, Desserts",1
"Asian, Thai, Vegetarian",1
"BBQ, Caribbean, Seafood",1
"British, Bar Food, Sandwich",1
"American, Desserts, Steak",1
"Coffee and Tea, Mediterranean",1
"Greek, Italian",1
"Fast Food, Seafood",1
"Burger, Bar Food, Vegetarian",1
"Seafood, Southern",1
Australian,1
"Modern Australian, Australian",1
"Cuban, Spanish",1
"Seafood, Steak",1
"Mexican, Vegetarian",1
"International, Italian, Southern",1
"Desserts, Bar Food",1
"Breakfast, Mexican",1
"European, German",1
"Sandwich, Seafood, Steak",1
"Italian, Deli",1
"Breakfast, Spanish, Tapas",1
"Fast Food, American, Salad, Healthy Food",1
"Italian, Continental, Chinese, North Indian",1
"American, Italian, Mughlai, North Indian",1
"Cafe, Italian, Mexican, Continental",1
"Italian, French, Cafe",1
"Fast Food, Cafe, Desserts, Bakery",1
"Fast Food, Chinese, Burger",1
"Mithai, Bakery, Street Food, Chinese, South Indian",1
"Mithai, South Indian, Chinese, Street Food",1
"Mithai, North Indian, South Indian, Chinese, Fast Food",1
"Cafe, Italian, Salad",1
"North Indian, Seafood",1
"Juices, Beverages",1
"Italian, North Indian, Desserts",1
"Raw Meats, North Indian, Chinese, Fast Food",1
"Cafe, American, Mexican, Italian, Thai",1
"Fast Food, Desserts, Ice Cream, Beverages",1
"Fast Food, Chinese, Italian",1
"North Indian, South Indian, Gujarati, Rajasthani",1
"North Indian, Mediterranean, Asian, Chinese",1
"Burger, Desserts",1
"Chinese, Thai, Tibetan",1
"Continental, North Indian, Italian, Seafood, Goan",1
"Seafood, French",1
"North Indian, Chinese, Continental, Goan, Seafood",1
"North Indian, Continental, Chinese, Seafood",1
"Continental, European, Asian, North Indian, Chinese, Italian",1
"Mediterranean, Continental",1
"Continental, North Indian, Chinese, Italian",1
"Cafe, Belgian",1
"Chinese, Thai, North Indian, Japanese",1
"Italian, Pizza, Lebanese",1
"South Indian, Street Food",1
"South Indian, Chinese, Mughlai",1
"Pizza, Desserts",1
"Japanese, Thai, Chinese",1
"South Indian, Seafood, Kerala",1
"Seafood, Continental, European, German",1
"Goan, Seafood, North Indian",1
"Goan, Seafood, Chinese",1
"Goan, North Indian, Chinese",1
"Italian, Continental, Goan",1
"Goan, Seafood, Chinese, North Indian",1
"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",1
"North Indian, Chinese, Italian, Mexican",1
"North Indian, Chinese, Continental, Italian, Mexican",1
"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1
"North Indian, Chinese, Mexican, Beverages",1
"Cafe, Italian, Mexican, Bakery",1
"Cafe, Charcoal Grill, Steak",1
"Mediterranean, Asian, Continental, North Indian, Arabian",1
"Italian, Mexican, Chinese",1
"Fast Food, Mexican, Tex-Mex",1
"Pizza, Italian, Fast Food",1
"Cafe, Chinese, North Indian",1
"Asian, Mediterranean, North Indian",1
"Parsi, North Indian",1
"North Indian, Chinese, Italian, Street Food, Desserts",1
"American, Burger, Cafe",1
"Continental, American, Italian, North Indian, Chinese, Cafe",1
"Italian, American, Pizza",1
"North Indian, Hyderabadi",1
"Cafe, Mughlai, North Indian",1
"Continental, Chinese, Biryani, North Indian",1
"Italian, Fast Food, North Indian, Chinese",1
"Chinese, North Indian, Cafe",1
"Cafe, Chinese, Fast Food, Seafood",1
"Italian, Cafe, Chinese, Continental",1
"Asian, Continental",1
"Continental, Chinese, Thai, Malaysian, North Indian",1
"Continental, Fast Food, Desserts, Indian",1
"South Indian, Chettinad, North Indian",1
"North Indian, Mediterranean, Asian, Arabian",1
"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1
"European, Cafe, Italian",1
"Italian, Mexican, Chinese, Thai, North Indian",1
"Continental, Cafe, Italian, Desserts",1
"North Indian, Chinese, Arabian",1
"European, Italian, Desserts",1
"Desserts, American",1
"Burger, Fast Food, Desserts, Beverages",1
"North Indian, Chinese, Continental, Italian, Burger",1
"Continental, Italian, Thai, Finger Food",1
"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1
"American, Cafe",1
"North Indian, Chinese, Continental, Pizza",1
"Breakfast, Diner, Sandwich",1
"Breakfast, Cajun",1
"Breakfast, Vegetarian",1
"Mexican, Southwestern, Sushi",1
"Chinese, Sushi, Thai",1
"American, Mediterranean, Seafood",1
"Japanese, Sushi, Teriyaki",1
"Sushi, Thai",1
"Italian, Seafood, Vegetarian",1
"Latin American, Steak",1
"European, Spanish",1
"Burger, Seafood",1
"Bar Food, Sandwich, Seafood",1
"Asian, Japanese, Sushi",1
"Desserts, Italian, Pizza",1
"Breakfast, French",1
"Desserts, Sandwich, Southern",1
"International, Tapas, Vegetarian",1
"American, Caribbean, Seafood",1
"Chinese, Steak",1
"Desserts, Latin American, Argentine",1
"International, Southern",1
"Breakfast, Diner",1
"American, International, Sushi",1
"Mediterranean, Tapas, Vegetarian",1
"American, Breakfast, Desserts",1
"American, Breakfast, Greek",1
"Burger, Pizza",1
"Sushi, Teriyaki",1
"Indian, Mediterranean, Middle Eastern",1
"American, Diner, Southern",1
"American, Japanese, Sushi",1
"BBQ, Breakfast, Southern",1
"Mexican, Tex-Mex",1
"Chinese, Canadian",1
"American, Tapas",1
"BBQ, Southern",1
"Seafood, Steak, Vegetarian",1
"Breakfast, Diner, Southern",1
"Japanese, Steak",1
"Burger, Bar Food, Southern",1
"American, Seafood, Cajun",1
"Asian, Japanese",1
"Mexican, Spanish",1
Sandwich,1
"American, Bar Food, Sandwich",1
"Fast Food, French",1
"Brazilian, Healthy Food, Juices, Pizza",1
"Beverages, Bar Food, Fast Food",1
"Seafood, Bar Food, Brazilian",1
"American, Grill",1
"Peruvian, Latin American",1
"Mexican, Grill",1
"Brazilian, Cafe",1
Arabian,1
"American, Asian, Italian, Seafood",1
"International, Southern, Vegetarian",1
"Seafood, American, Mediterranean, Japanese",1
"Cafe, Bakery, American, Italian",1
"Cafe, Korean, Desserts",1
"Cafe, American, Italian, Filipino",1
"American, Ice Cream, Desserts",1
"European, Asian, Indian",1
"Seafood, Filipino, Asian, European",1
"Seafood, Asian, Filipino, Indian",1
"Bakery, Sandwich, Brazilian",1
"Brazilian, Seafood",1
"Steak, BBQ",1
"Beverages, International",1
"Breakfast, Burger, Sandwich",1
"American, Southern, Southwestern",1
"Bar Food, Steak",1
"American, Breakfast, Diner",1
"Seafood, Tapas, Bar Food",1
"Chinese, Seafood, Vegetarian",1
"Steak, Tapas, Bar Food",1
"Pizza, Bar Food, Sandwich",1
"Asian, Chinese, Vegetarian",1
"Brazilian, Bar Food, Beverages",1
"Brazilian, North Eastern",1
"Brazilian, Mineira",1
"Brazilian, Italian",1
"Gourmet Fast Food, Burger",1
"BBQ, Grill, Brazilian",1
"Brazilian, Grill",1
"French, Brazilian, Beverages",1
"American, French",1
"American, Bar Food, BBQ",1
"BBQ, Burger, Desserts",1
"American, Breakfast, Vegetarian",1
"American, Seafood, Sushi",1
"European, International, Tapas",1
"Italian, Pizza, Seafood",1
"Burger, Bar Food, Steak",1
"Mexican, Southwestern, Tex-Mex",1
"Cafe, Coffee and Tea, Sandwich",1
"Mediterranean, Seafood",1
Pub Food,1
"Mediterranean, Turkish",1
"American, Coffee and Tea",1
"Southern, Cajun, Soul Food",1
Cajun,1
"American, BBQ, Sandwich",1
"American, Sandwich, Tea",1
"Asian, Latin American, Vegetarian",1
Caribbean,1
"Brazilian, Steak",1
"New American, Tapas",1
"Caribbean, Seafood, Steak",1
"Burger, Sandwich, Seafood",1
"Caribbean, Seafood",1
Greek,1
"International, Mediterranean, Sandwich",1
"Desserts, Sandwich, Ice Cream",1
"American, Breakfast, Hawaiian",1
"Asian, European, Seafood",1
"American, Asian, Burger",1
"Hawaiian, Seafood",1
"Asian, Breakfast, Hawaiian",1
"Japanese, Seafood, Sushi",1
"American, Hawaiian",1
"Indian, Persian",1
New American,1
"Desserts, Thai",1
"Indian, International, Vegetarian",1
"Asian, Sushi, Vegetarian",1
"American, Pizza",1
"American, Greek",1
"Breakfast, Coffee and Tea, Modern Australian",1
Irish,1
"American, Sandwich, Salad",1
Hawaiian,1
"BBQ, Sandwich",1
"American, Burger, Cajun",1
"American, Sandwich, Seafood",1
"Cafe, Australian",1
"Tea, Modern Australian",1
"American, Burger, Pizza, Cafe",1
"Breakfast, Pizza",1
"International, Pizza",1
"Desserts, Pizza, Ice Cream",1
"American, BBQ, Seafood",1
"Coffee and Tea, Tea, Modern Australian",1
"Breakfast, Mexican, Southwestern",1
"Burger, Desserts, Vegetarian",1
"Asian, Vegetarian, Vietnamese, Bubble Tea",1
"Chinese, Pizza",1
"Latin American, Mexican",1
"Asian, Sushi, Thai",1
"BBQ, Caribbean, Cajun",1
"Bar Food, Seafood, Vegetarian",1
"American, European, Sandwich",1
"American, International, Southwestern",1
"German, Ice Cream",1
"Coffee and Tea, Modern Australian",1
"Bar Food, Modern Australian",1
"American, Greek, Seafood",1
"Pizza, Sandwich, Vegetarian",1
"American, Chinese, Sushi",1
"Greek, Mediterranean, Vegetarian",1
"European, Italian, Mediterranean",1
"Desserts, Greek, Sandwich",1
"American, Seafood",1
"Burger, Desserts, Bar Food",1
"Coffee and Tea, Cuban, Latin American",1
"Burger, Desserts, Sandwich",1
"Burger, Coffee and Tea, Modern Australian",1
"Breakfast, Modern Australian",1
"Italian, Fusion, Cafe",1
"Cafe, Coffee and Tea, Modern Australian",1
"Burger, German, Sandwich",1
"Asian, Burmese",1
"Persian, Arabian, Lebanese, North Indian",1
"Chinese, Japanese, Sushi",1
"Chinese, North Indian, Mughlai, Pizza",1
"Bakery, Desserts, Fast Food, Mithai",1
"Desserts, Bakery, Pizza, Burger, Continental",1
"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",1
"Fast Food, North Indian, Chinese, Desserts",1
"Chinese, Fast Food, North Indian, South Indian",1
"Seafood, South Indian, Andhra, Hyderabadi, Goan",1
"North Indian, Street Food, Mughlai",1
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",1
"Street Food, Fast Food, Beverages",1
"Cafe, Chinese, Fast Food, Italian",1
"Chinese, North Indian, Italian, Mughlai",1
"Continental, North Indian, Fast Food, Street Food, South Indian",1
"Continental, Seafood, Goan, Andhra, Kerala, Thai",1
"North Indian, Seafood, Continental",1
Cuisine Varies,1
"Malwani, North Indian, Chinese, Seafood",1
"North Indian, European, Mediterranean, Asian",1
"Seafood, Chinese, Thai",1
"Continental, Asian, North Indian",1
"Malaysian, Indonesian",1
"Continental, North Indian, Mughlai, Italian",1
"North Indian, South Indian, Chinese, Mithai, Fast Food",1
"Mughlai, Street Food",1
"Ice Cream, Mithai, North Indian, Street Food",1
"Beverages, Street Food",1
"North Indian, Street Food, Chinese, South Indian",1
"North Indian, Fast Food, Chinese, South Indian",1
"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",1
"Gujarati, South Indian, North Indian",1
"South Indian, Chettinad, North Indian, Chinese",1
"Cafe, Healthy Food, North Indian",1
"Kashmiri, North Indian",1
"Chinese, North Indian, Seafood",1
"Bakery, Italian, Fast Food, Chinese, Continental",1
"Chinese, Thai, North Indian",1
"Japanese, Chinese, Malaysian, Thai, Vietnamese",1
"North Indian, Street Food, Chinese, South Indian, Mithai",1
"Fast Food, Italian, Chinese",1
"Pizza, Fast Food, Chinese",1
"Continental, North Indian, Thai, Chinese",1
"Continental, Fast Food, Tea",1
"Kerala, Fast Food",1
"Seafood, Chinese",1
"Cafe, Chinese, Thai, North Indian, Continental",1
"Italian, American, Lebanese",1
"Mediterranean, Italian, American",1
"Cafe, Italian, Desserts",1
"Mughlai, Lucknowi",1
"Cafe, Chinese, Continental",1
"Continental, Seafood, North Indian, Asian",1
"Biryani, North Indian, Chinese, Mughlai",1
"Tex-Mex, American",1
"Continental, South Indian",1
"North Indian, Chinese, Mexican, Italian",1
"Chinese, Cafe, North Indian, Desserts",1
"Continental, Middle Eastern, Asian",1
"Italian, Mexican, American, Mediterranean",1
"Continental, Cafe, Desserts, Bakery",1
"Italian, Seafood, Mediterranean, Desserts, Cafe",1
"Kerala, South Indian, Chinese, Biryani",1
"Chinese, Seafood, North Indian, Biryani",1
"North Indian, Continental, South Indian, Chinese, Thai, Asian",1
"Italian, Continental, North Indian, Cafe",1
"Italian, Continental, Mexican, Lebanese",1
"Mediterranean, Chinese, Continental",1
"Cafe, Continental, European, Beverages",1
"Italian, North Indian, South Indian",1
"North Indian, Andhra, Mughlai",1
